"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","BG42","South Central","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,78.68,,
"1","Country","ROU","Romania","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,83.58,,
"2","Large regions (TL2)","RO11","North West","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,88.61,,
"2","Large regions (TL2)","RO12","Center","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,82.1,,
"2","Large regions (TL2)","RO21","North East","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,76.86,,
"2","Large regions (TL2)","RO22","South East","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,79.2,,
"2","Large regions (TL2)","RO31","South - Muntenia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,81.93,,
"2","Large regions (TL2)","RO32","Bucharest - Ilfov","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,91.74,,
"2","Large regions (TL2)","RO41","South West Oltenia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,81.67,,
"2","Large regions (TL2)","RO42","West","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,89.4,,
"2","Large regions (TL2)","SI03","Eastern Slovenia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,89.44,,
"2","Large regions (TL2)","SI04","Western Slovenia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,90.61,,
"1","Country","HRV","Croatia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,85,,
"2","Large regions (TL2)","HR03","Adriatic Croatia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,88.28,,
"2","Large regions (TL2)","HU11","Budapest","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,94.21,,
"2","Large regions (TL2)","HU12","Pest","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,86.91,,
"2","Large regions (TL2)","IE04","Northern and Western","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,94.12,,
"2","Large regions (TL2)","IE05","Southern","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,89.49,,
"2","Large regions (TL2)","IE06","Eastern and Midland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,92.58,,
"2","Large regions (TL2)","LT01","Vilnius Region","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,86.43,,
"2","Large regions (TL2)","LT02","Central and Western Lithuania","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,79.98,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.01,,
